,SchoolCode,Expenditure
1117,3320,14337842
1118,3321,5951306
1119,3322,7989410
1120,3323,5590103
1121,3324,10405076
1122,3325,5054476
1123,3326,2467556
1124,3327,12712126
1125,3328,7153445
1126,3329,6492074
1127,3330,16737527
1128,3333,9479607
1129,3335,9863128
1130,3337,8835729
1131,3338,13161825
1132,3339,8715408
1133,3341,12992590
1134,3343,22268353
1135,3344,8994996
1136,3345,10163159
1137,3349,6439622
1138,3351,7040248
1139,3353,10588450
1140,3355,12250206
1141,3356,10995379
1142,3357,5451411
1143,3360,14691248
1144,3361,10611457
1145,3362,15068147
1146,3365,4926238
1147,3366,4234080
1148,3368,11962587
1149,3369,6688926
1150,3370,7616913
1151,3371,4614662
1152,3372,11754717
1153,3373,5815702
1154,3374,5592811
1155,3375,3818627
1156,3377,7424219
1157,3378,6800892
1158,3380,4620244
1159,3381,11464722
1160,3382,8342391
1161,3385,30322946
1162,3386,10700610
1163,3387,9838221
1164,3388,8482111
1165,3389,8852440
1166,3390,9040771
1167,3391,5686108
1168,3392,2468412
1169,3393,4823241
1170,3394,2868938
1171,3396,210353
1172,3397,8054541
1173,3398,20028154
1174,3399,6315257
1175,3401,13631988
1176,3402,3527199
1177,3403,4774124
1178,3404,2650160
1179,3405,1370363
1180,3406,1089474
1181,3407,23698669
1182,3408,9848610
1183,3409,7300501
1184,3410,8413901
1185,3412,23039162
1186,3413,10919793
1187,3414,8216774
1188,3415,24393868
1189,3416,2981151
1190,3417,5679605
1191,3418,1915269
1192,3419,8234887
1193,3421,2376525
1194,3422,3132476
1195,3423,14656688
1196,3424,6084145
1197,3425,5472525
1198,3426,3088212
1199,3429,10541973
1200,3430,4696695
1201,3431,10841385
1202,3432,6896074
1203,3433,8139774
1204,3434,16157431
1205,3435,11738591
1206,3436,8845849
1207,3437,10118085
1208,3439,8153960
1209,3440,10543888
1210,3441,8571899
1211,3442,8569739
1212,3444,2522162
1213,3446,5325789
1214,3447,10426486
1215,3448,11631628
1216,3449,7917481
1217,3452,6203090
1218,3453,6926079
1219,3454,4891770
1220,3455,5080012
1221,3456,19438639
1222,3457,6618215
1223,3458,11318016
1224,3459,959757
1225,3461,7245245
1226,3463,10433280
1227,3464,19816753
1228,3465,5228659
1229,3466,4620334
1230,3467,2810328
1231,3468,20653926
1232,3469,115581
1233,3471,9640370
1234,3472,9771878
1235,3473,3785293
1236,3474,4538906
1237,3475,7469137
1238,3476,14207768
1239,3477,6326069
1240,3478,7734744
1241,3479,19394582
1242,3483,14109658
1243,3485,8793200
1244,3486,25057708
1245,3488,8090690
1246,3489,8079792
1247,3490,6511171
1248,3491,7038554
1249,3492,22492601
1250,3493,12801824
1251,3494,2662574
1252,3496,234959
1253,3498,6230368
1254,3499,10493035
1255,3500,7959182
1256,3503,9035746
1257,3504,8416708
1258,3506,4993005
1259,3508,2995831
1260,3509,5157539
1261,3510,7878210
1262,3511,23785000
1263,3513,760557
1264,3515,8875391
1265,3516,6584430
1266,3517,8452615
1267,3518,8798538
1268,3519,6595218
1269,3521,7892063
1270,3522,8499456
1271,3524,12703421
1272,3525,7736588
1273,3527,7559307
1274,3528,26031953
1275,3529,5673419
1276,3530,582095
1277,3531,4382993
1278,3532,6642848
1279,3533,8591360
1280,3534,7275571
1281,3536,7190054
1282,3537,7755665
1283,3538,8057299
1284,3539,8474041
1285,3540,5154552
1286,3541,4817265
1287,3543,9580350
1288,3545,8585382
1289,3546,10322531
1290,3547,5548915
1291,3548,7811079
1292,3550,6329334
1293,3552,4738105
1294,3553,5423899
1295,3554,2734620
1296,3555,2874404
1297,3556,3587931
1298,3557,7276970
1299,3558,7231078
1300,3559,1199192
1301,3560,11195140
1302,3561,8229753
1303,3562,7652755
1304,3564,5883499
1305,3565,5628176
1306,3566,8087580
1307,3567,8602999
1308,3568,6940211
1309,3569,1743264
1310,3572,4318860
1311,3573,8850463
1312,3574,2278533
1313,3575,2007358
1314,3576,14971434
1315,3578,6117634
1316,3579,1745288
1317,3580,2215549
1318,3581,7533260
1319,3582,8630638
1320,3583,8963233
1321,3584,22472057
1322,3585,5347320
1323,3586,10640286
1324,3587,8226117
1325,3588,26948197
1326,3589,7809152
1327,3590,8969366
1328,3591,6809191
1329,3592,6178735
1330,3593,6395115
1331,3594,7630978
1332,3596,6756499
1333,3597,3172737
1334,3599,1504435
1335,3600,17162688
1336,3601,7212541
1337,3602,9833406
1338,3603,6626436
1339,3605,8559078
1340,3606,5729790
1341,3607,8219799
1342,3608,8960618
1343,3609,4260212
1344,3610,15613195
1345,3611,10018624
1346,3612,8543915
1347,3613,4656016
1348,3614,5031324
1349,3615,11137185
1350,3616,147373
1351,3618,7522225
1352,3620,3781049
1353,3621,3756748
1354,3622,7385948
1355,3625,7881043
1356,3626,10919495
1357,3627,8360728
1358,3628,5728294
1359,3630,21635607
1360,3631,15200863
1361,3633,7549340
1362,3634,9584011
1363,3635,7296481
1364,3636,15777902
1365,3637,6292407
1366,3640,24919241
1367,3641,6420002
1368,3643,620540
1369,3645,20973329
1370,3646,7336905
1371,3648,15449552
1372,3649,10776950
1373,3650,10090756
1374,3651,8411828
1375,3653,8073446
1376,3658,6175661
1377,3659,6088787
1378,3661,4682314
1379,3662,3209480
1380,3664,5531845
1381,3665,4644787
1382,3667,5982487
1383,3668,10153062
